"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"SG 400, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","400","6.6","","67.8","0.52","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 550, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","550","8.4","","64.2","0.54","","","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 700, 1","Grass","switchgrass","Non commercial","","","slow with residence time of 1 minute","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","700","9.6","","66.1","0.46","","","8.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 450, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","450","7.5","","65.9","0.62","","","7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 450, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","450","8.9","","68.9","0.53","","","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 500, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","500","8.8","","68.5","0.49","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 600, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","600","7.7","","67.2","0.51","","","8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 500, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","500","9.6","","69.1","0.50","","","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 550, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","550","8.9","","68.9","0.47","","","8.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 650, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","650","10.2","","68.9","0.55","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 500, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","500","9.7","","68.4","0.49","","","8.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 550, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","550","11.0","","66.8","0.49","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 600, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","600","10.4","","70.4","0.50","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 550, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","550","9.2","","69.1","0.49","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 700, 2","Grass","switchgrass","Non commercial","","","slow with residence time of 2 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","700","11.7","","70.9","0.47","","","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 600, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","600","10.2","","71.6","0.40","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 650, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","650","12.5","","64.2","0.43","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 600, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","600","10.4","","72.8","0.46","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 650, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","650","10.7","","71.7","0.44","","","9.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 650, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","650","11.8","","71.8","0.44","","","9.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 700, 5","Grass","switchgrass","Non commercial","","","slow with residence time of 5 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","700","11.3","","75.4","0.40","","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 700, 10","Grass","switchgrass","Non commercial","","","slow with residence time of 10 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","700","11.9","","69.8","0.40","","","9.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SG 700, 20","Grass","switchgrass","Non commercial","","","slow with residence time of 20 minutes","Yes","Conti, R et al., Journal of Analytical and Applied Pyrolysis 110 (2014) 239-247.","","700","12.3","","73.4","0.39","","","10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Corn 300","Other/ Mixed","","Non commercial","","","slow","Yes","Fang, C et al., International Journal of Environmental Research and Public Health 11, 9 (2014) 9217-9237.","","300","","","48.82","0.70","5.642","","","","","","","","","","","","","","","","","","","","","","","","","","","388.193","BET Analysis","","","","","","","","",
"Corn 450","Other/ Mixed","Corn","Non commercial","","","slow","Yes","Fang, C et al., International Journal of Environmental Research and Public Health 11, 9 (2014) 9217-9237.","","450","","","65.96","0.76","3.670","","","","","","","","","","","","","","","","","","","","","","","","","","","422.477","BET Analysis","","","","","","","","",
"Corn 600","Other/ Mixed","corn","Non commercial","","","slow","Yes","Fang, C et al., International Journal of Environmental Research and Public Health 11, 9 (2014) 9217-9237.","","600","","","70.64","0.73","2.544","","","","","","","","","","","","","","","","","","","","","","","","","","","494.929","BET Analysis","","","","","","","","",
"CMSM 250","Other/ Mixed","cattle manure and silage maize","Commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","250","8.6","","52.2","1.9","","","7.9","1.156","","","","","","","","","","","","","","","","","","","","","","","","","","","4500","","","10300","","","",
"CMSM 350","Other/ Mixed","cattle manure and silage maize","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","350","14.5","","60.7","2.6","","","8.6","0.691","","","","","","","","","","","","","","","","","","","","","","","","","","","7300","","","17100","","","",
"CMSM 450","Other/ Mixed","cattle manure and silage maize","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","450","16.6","","63.2","2.2","","","10.3","1.070","","","","","","","","","","","","","","","","","","","","","","","","","","","7700","","","20400","","","",
"CMSM 550","Other/ Mixed","cattle manure and silage maize","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","550","18.6","","65.9","2.2","","","10.3","1.695","","","","","","","","","","","","","","","","","","","","","","","","","","","11300","","","23200","","","",
"MOW 250","Other/ Mixed","municipal organic waste","Commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","250","37.6","","33.7","4.1","","","7.2","1.207","","","","","","","","","","","","","","","","","","","","","","","","","","","17800","","","5600","","","",
"MOW 350","Sludge","municipal organic waste","Commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","350","44.2","","34.8","4.0","","","7.6","0.275","","","","","","","","","","","","","","","","","","","","","","","","","","","20500","","","6500","","","",
"MOW 450","Other/ Mixed","municipal organic waste","Commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","450","55.1","","29.4","3.0","","","7.4","0.362","","","","","","","","","","","","","","","","","","","","","","","","","","","24700","","","8000","","","",
"MOW 550","Sludge","municipal organic waste","Commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","550","61.1","","26.2","2.7","","","7.1","0.814","","","","","","","","","","","","","","","","","","","","","","","","","","","26100","","","8700","","","",
"PL 250","Other/ Mixed","poultry litter","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","250","14.0","","43.7","4.1","","","6.9","0.402","","","","","","","","","","","","","","","","","","","","","","","","","","","8700","","","22300","","","",
"PL 350","Other/ Mixed","poultry litter","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","350","25.1","","51.2","5.6","","","8.0","0.353","","","","","","","","","","","","","","","","","","","","","","","","","","","14400","","","37700","","","",
"PL 450","Other/ Mixed","poultry litter","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","450","28.8","","51.2","4.5","","","9.9","0.432","","","","","","","","","","","","","","","","","","","","","","","","","","","16400","","","43200","","","",
"PL 550","Other/ Mixed","poultry litter","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","550","32.6","","51.1","3.7","","","10.2","0.419","","","","","","","","","","","","","","","","","","","","","","","","","","","19400","","","48000","","","",
"PR 250","Other/ Mixed","vineyard pruning residue","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","250","3.5","","48.7","0.9","","","6.0","0.961","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","4600","","","",
"PR 350","Other/ Mixed","vineyard pruning residue","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","350","7.4","","65.9","1.3","","","6.8","0.590","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","","","9700","","","",
"PR 450","Other/ Mixed","vineyard pruning residue","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","450","7.9","","69.3","1.3","","","9.0","0.517","","","","","","","","","","","","","","","","","","","","","","","","","","","2400","","","11700","","","",
"PR 550","Other/ Mixed","vineyard pruning residue","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","550","9.8","","75.1","1.3","","","9.7","0.540","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","","","14200","","","",
"SS 250","Sludge","sewage sludge","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","250","48.6","","28.3","3.8","","","6.9","0.691","","","","","","","","","","","","","","","","","","","","","","","","","","","17300","","","4200","","","",
"SS 350","Sludge","sewage sludge","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","350","58.1","","27.5","3.6","","","7.3","0.092","","","","","","","","","","","","","","","","","","","","","","","","","","","19600","","","4400","","","",
"SS 450","Sludge","sewage sludge","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","450","67.0","","22.5","2.8","","","7.2","0.130","","","","","","","","","","","","","","","","","","","","","","","","","","","21900","","","4900","","","",
"SS 550","Sludge","sewage sludge","Non commercial","","","slow","Yes","Pituello, C et al., Journal of Soils and Sediments (2014) 1-13.","","550","73.2","","20.1","2.3","","","7.1","0.210","","","","","","","","","","","","","","","","","","","","","","","","","","","23600","","","4200","","","",
